"Name","Link","Price_AMD","Price_USD","State","City","Address","Zipcode","Photos_Count","Ranking_Category","Rank_in_Category","N_Hotels_in_Category","Review_Count","Average_Score","Excellent_Rating","Good_Rating","Average_Rating","Poor_Rating","Terrible_Rating","Certificate","Language_distribution","Provider","Free_WiFi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant"
"Elegant Hotel","https://www.tripadvisor.com//Hotel_Review-g666439-d15608058-Reviews-Elegant_Hotel-Goris_Syunik_Province.html",23325,48,"Syunik Province","Goris","Andranik Street","3201",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Elen B&B","https://www.tripadvisor.com//Hotel_Review-g815351-d7974574-Reviews-Elen_B_B-Alaverdi_Lori_Province.html",22158,46,"Lori Province","Alaverdi","Neghots","1705",0,"B&Bs / Inns in Alaverdi",7,14,1,1,0,0,0,0,1,0,"{'English': 0, 'Italian': 1}","Booking.com","1","0","1","0","0","0","0"
"Elis Hotel","https://www.tripadvisor.com//Hotel_Review-g2151208-d16717362-Reviews-Elis_Hotel-Tsakhkadzor_Kotayk_Province.html",20833,43,"Kotayk Province","Tsakhkadzor","Tandzaghbyur St","2310",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Elit","https://www.tripadvisor.com//Hotel_Review-g2708789-d14941765-Reviews-Elit-Ijevan_Tavush_Province.html",20742,43,"Tavush Province","Ijevan",NA,"4001",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","Booking.com","0","0","0","0","0","0","0"
"Elysium Gallery Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d8498551-Reviews-Elysium_Gallery_Hotel-Yerevan.html",20583,42,"Yerevan","Yerevan","Kokhbatsi str. 75/5","0002",55,"B&Bs / Inns in Yerevan",23,144,44,4,0,3,4,3,4,0,"{'English': 24, 'Russian': 15, 'French': 3}","Booking.com","1","0","1","0","0","0","0"
"Em&Ri Guest House in Odzun","https://www.tripadvisor.com//Hotel_Review-g2426280-d15064685-Reviews-Em_Ri_Guest_House_in_Odzun-Odzun_Alaverdi_Lori_Province.html",14583,30,"Lori Province","Alaverdi","3rd Street","1731",0,"Specialty Lodging in Odzun",3,7,1,5,1,0,0,0,0,0,"{'English': 1}","Booking.com","0","0","0","0","0","0","0"
"Envoy Hostel and Tours","https://www.tripadvisor.com//Hotel_Review-g293932-d595944-Reviews-Envoy_Hostel_and_Tours-Yerevan.html",20417,42,"Yerevan","Yerevan","54 Pushkin St.","0002",152,"Specialty Lodging in Yerevan",1,300,363,4.5,7,7,3,5,1,1,"{'English': 319, 'Italian': 12, 'Russian': 10}","Booking.com","1","1","0","0","0","0","0"
"Erazank Hotel","https://www.tripadvisor.com//Hotel_Review-g815353-d7113631-Reviews-Erazank_Hotel-Gyumri_Shirak_Province.html",50000,103,"Shirak Province","Gyumri","Minas Avetisyan st. 2","3123",30,NA,0,0,0,0,0,0,0,0,0,0,"[]","Expedia.com","1","0","1","0","0","0","0"
"Erebuni Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d1216356-Reviews-Erebuni_Hotel-Yerevan.html",37500,77,"Yerevan","Yerevan","Sargsyana Vazgyena str. 26/4","0010",105,"Hotels in Yerevan",17,83,178,4.5,4,7,9,5,3,1,"{'Russian': 92, 'English': 58, 'French': 9}","Booking.com","1","1","0","0","0","0","0"
"Erzrum Hotel","https://www.tripadvisor.com//Hotel_Review-g293932-d7907550-Reviews-Erzrum_Hotel-Yerevan.html",NA,NA,"Yerevan","Yerevan","Tbilisyan Highway 27/7","0052",0,NA,0,0,0,0,0,0,0,0,0,0,"[]","TripAdvisor","0","0","0","0","0","0","0"
