"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"Hotel Enjoy","Booking.com","AMD 12,492","0 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12428417-Reviews-Hotel_Enjoy-Yerevan.html"
"Hotel King","Booking.com","AMD 11,658","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10451796-Reviews-Hotel_King-Yerevan.html"
"Inga Hotel Yerevan","Booking.com","AMD 13,325","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15219439-Reviews-Inga_Hotel_Yerevan-Yerevan.html"
"InnCity Apartments by Picnic","Agoda.com","AMD 15,269","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16877310-Reviews-InnCity_Apartments_by_Picnic-Yerevan.html"
"Kamurj Apart Hotel","Booking.com","AMD 26,242","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d11768914-Reviews-Kamurj_Apart_Hotel-Yerevan.html"
"Karinitas Family Hostel","Booking.com","AMD 6,658","0 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10891048-Reviews-Karinitas_Family_Hostel-Yerevan.html"
"Karson Apartments","Booking.com","AMD 20,000","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16720613-Reviews-Karson_Apartments-Yerevan.html"
"KAV Guest House","Booking.com","AMD 13,325","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16707999-Reviews-KAV_Guest_House-Yerevan.html"
"Kond guest house","Booking.com","AMD 12,492","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14905575-Reviews-Kond_guest_house-Yerevan.html"
"Lotus Hostel","Agoda.com","AMD 16,965","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16812966-Reviews-Lotus_Hostel-Yerevan.html"
"Lovely Hotel","Expedia.com","AMD 10,000","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16858972-Reviews-Lovely_Hotel-Yerevan.html"
"Luxe Proshyan Str","Booking.com","AMD 66,490","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10630717-Reviews-Luxe_Proshyan_Str-Yerevan.html"
"Masiv Hostel","Booking.com","AMD 6,667","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7063615-Reviews-Masiv_Hostel-Yerevan.html"
"Midnight","Booking.com","AMD 9,091","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15584691-Reviews-Midnight-Yerevan.html"
"Mirage Guest House","Expedia.com","AMD 6,250","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15226237-Reviews-Mirage_Guest_House-Yerevan.html"
"Motel Eforea","Expedia.com","AMD 62,500","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9463268-Reviews-Motel_Eforea-Yerevan.html"
"The Place by J","Booking.com","AMD 15,408","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12999501-Reviews-The_Place_by_J-Yerevan.html"
"Radiance2 Hostel","Booking.com","AMD 3,325","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13949515-Reviews-Radiance2_Hostel-Yerevan.html"
"R&K","Booking.com","AMD 7,990","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14002102-Reviews-R_K-Yerevan.html"
"4 Room Hotel","Expedia.com","AMD 18,306","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16828815-Reviews-4_Room_Hotel-Yerevan.html"
"Shamrock Hostel","Booking.com","AMD 712","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13446727-Reviews-Shamrock_Hostel-Yerevan.html"
"Shara Talyan 8/2 Guest House","Booking.com","AMD 13,333","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15295689-Reviews-Shara_Talyan_8_2_Guest_House-Yerevan.html"
"Solibri","Booking.com","AMD 30,000","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7712080-Reviews-Solibri-Yerevan.html"
"Sona B&B","Booking.com","AMD 10,000","0 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6966492-Reviews-Sona_B_B-Yerevan.html"
"Sunshine Guest House","Booking.com","AMD 9,790","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15327202-Reviews-Sunshine_Guest_House-Yerevan.html"
"Tatev Hostel & Hotel","Booking.com","AMD 11,992","0 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15676977-Reviews-Tatev_Hostel_Hotel-Yerevan.html"
"Tunn Kilikio","Booking.com","AMD 21,990","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14985760-Reviews-Tunn_Kilikio-Yerevan.html"
"Urartu Complex","Booking.com","AMD 6,742","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15415630-Reviews-Urartu_Complex-Yerevan.html"
"Welcome Apt. by AVS at 17 Buzand","Booking.com","AMD 14,158","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15810407-Reviews-Welcome_Apt_by_AVS_at_17_Buzand-Yerevan.html"
"Yerevan Guest House","Booking.com","AMD 9,492","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12302269-Reviews-Yerevan_Guest_House-Yerevan.html"
"Boris's Family's Bed & Breakfast","Hotels.com",NA,"54 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d950379-Reviews-Boris_s_Family_s_Bed_Breakfast-Yerevan.html"
"DownTown Hostel","Booking.com","AMD 16,658","63 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3784108-Reviews-DownTown_Hostel-Yerevan.html"
"Best Eastern Hotel Yerevan","Booking.com","AMD 14,167","17 reviews","Free Wifi","","","Pool","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308344-Reviews-Best_Eastern_Hotel_Yerevan-Yerevan.html"
"The Ivory","Booking.com","AMD 17,308","9 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9721756-Reviews-The_Ivory-Yerevan.html"
"Premium Hotel","Booking.com","AMD 12,121","6 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13285458-Reviews-Premium_Hotel-Yerevan.html"
"Arzni Sanatorium","Booking.com","AMD 10,000","10 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6475446-Reviews-Arzni_Sanatorium-Yerevan.html"
"State University Guest House","Expedia.com","AMD 29,083","15 reviews","","","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d2290225-Reviews-State_University_Guest_House-Yerevan.html"
"Light Wings Hostel & Tours","Booking.com","AMD 23,742","3 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12688198-Reviews-Light_Wings_Hostel_Tours-Yerevan.html"
"Studio Guest House","Booking.com","AMD 13,333","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16667555-Reviews-Studio_Guest_House-Yerevan.html"
"Magnoliya Butik-Hostel","Booking.com","AMD 13,333","1 review","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13414751-Reviews-Magnoliya_Butik_Hostel-Yerevan.html"
"Best Eastern Arma Hotel","Booking.com","AMD 10,000","3 reviews","","Breakfast included","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d308333-Reviews-Best_Eastern_Arma_Hotel-Yerevan.html"
"Villa des Roses Hotel","Booking.com","AMD 11,667","4 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2658500-Reviews-Villa_des_Roses_Hotel-Yerevan.html"
"Home Hostel","Agoda.com","AMD 16,644","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6550940-Reviews-Home_Hostel-Yerevan.html"
"International Hostel Yerevan","Booking.com","AMD 10,825","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6681360-Reviews-International_Hostel_Yerevan-Yerevan.html"
"Hotel Terjan","Booking.com","AMD 8,325","1 review","","Breakfast included","","Pool","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d308342-Reviews-Hotel_Terjan-Yerevan.html"
"Raffik's B&B","Booking.com","AMD 12,492","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2136573-Reviews-Raffik_s_B_B-Yerevan.html"
"Dom Moskvy","Booking.com","AMD 7,992","1 review","","Breakfast included","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7184938-Reviews-Dom_Moskvy-Yerevan.html"
"Orange Hotel","Booking.com","AMD 11,667","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3228963-Reviews-Orange_Hotel-Yerevan.html"
"Hotel Petak","Booking.com","AMD 23,367","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d4263358-Reviews-Hotel_Petak-Yerevan.html"
"Guest House on Aigestana","Booking.com","AMD 6,667","2 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12145249-Reviews-Guest_House_on_Aigestana-Yerevan.html"
"Karson Hostel","Booking.com","AMD 11,990","3 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7198588-Reviews-Karson_Hostel-Yerevan.html"
"Afina Hotel","Booking.com","AMD 8,333","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10682113-Reviews-Afina_Hotel-Yerevan.html"
"Alnur Hostel Armenia","Booking.com","AMD 37,492","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15352887-Reviews-Alnur_Hostel_Armenia-Yerevan.html"
"Amanz Homestay","Booking.com","AMD 16,658","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15339193-Reviews-Amanz_Homestay-Yerevan.html"
"Apartament","Booking.com","AMD 11,658","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16871300-Reviews-Apartament-Yerevan.html"
"Apartment Pavstos Byuzand 53-55","Hotels.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16818182-Reviews-Apartment_Pavstos_Byuzand_53_55-Yerevan.html"
"The Ark Tours & Accommodation Armenian Hostel","Hotels.com",NA,"0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13438577-Reviews-The_Ark_Tours_Accommodation_Armenian_Hostel-Yerevan.html"
"Arvasar","Hotels.com",NA,"0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7626542-Reviews-Arvasar-Yerevan.html"
"As Hostel","TripAdvisor",NA,"0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12440134-Reviews-As_Hostel-Yerevan.html"
"B&B Sunset","TripAdvisor",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3514269-Reviews-B_B_Sunset-Yerevan.html"
"Bridge Hostel","Booking.com","AMD 17,600","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15221276-Reviews-Bridge_Hostel-Yerevan.html"
"Caravan Hotel","Booking.com","AMD 8,333","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12072039-Reviews-Caravan_Hotel-Yerevan.html"
"Cascade Palace Hotel","Booking.com","AMD 37,492","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6204807-Reviews-Cascade_Palace_Hotel-Yerevan.html"
"Chastny BnB","Booking.com","AMD 16,658","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8640066-Reviews-Chastny_BnB-Yerevan.html"
"Christina Plaza","Booking.com","AMD 11,658","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10123163-Reviews-Christina_Plaza-Yerevan.html"
"Cottage at Arshakunyants Ave.","Booking.com","AMD 20,825","0 reviews","","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12964744-Reviews-Cottage_at_Arshakunyants_Ave-Yerevan.html"
"Cozy room in provence style","Agoda.com","AMD 10,817","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g13109039-d15326968-Reviews-Cozy_room_in_provence_style-Kasakh_Yerevan.html"
"5. Element Hostel","Booking.com","AMD 14,990","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12455033-Reviews-5_Element_Hostel-Yerevan.html"
"""G"" Hotel","Agoda.com","AMD 9,977","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8785941-Reviews-G_Hotel-Yerevan.html"
"Golden Second Hotel","Booking.com","AMD 10,190","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3284430-Reviews-Golden_Second_Hotel-Yerevan.html"
"Grand Hills Hotel","Booking.com","AMD 12,492","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15780015-Reviews-Grand_Hills_Hotel-Yerevan.html"
"Guesthouse Paradise","Booking.com","AMD 17,990","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7257556-Reviews-Guesthouse_Paradise-Yerevan.html"
"Haven","Booking.com","AMD 12,500","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15615243-Reviews-Haven-Yerevan.html"
"Honey Hostel","Booking.com","AMD 17,990","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15078645-Reviews-Honey_Hostel-Yerevan.html"
"Hostel Discovery","TripAdvisor",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10452876-Reviews-Hostel_Discovery-Yerevan.html"
"Hostel Heaven","Agoda.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15352994-Reviews-Hostel_Heaven-Yerevan.html"
"Hostel Hostell","Agoda.com",NA,"0 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9793413-Reviews-Hostel_Hostell-Yerevan.html"
"Hotel Avetis","Agoda.com",NA,"0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2388111-Reviews-Hotel_Avetis-Yerevan.html"
"Hotel Merien","TripAdvisor",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14968845-Reviews-Hotel_Merien-Yerevan.html"
"Lilia Guest House","Agoda.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15335466-Reviews-Lilia_Guest_House-Yerevan.html"
"Lucy Guest House","Booking.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14826684-Reviews-Lucy_Guest_House-Yerevan.html"
"Master Class Hotel","Agoda.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1238111-Reviews-Master_Class_Hotel-Yerevan.html"
"The Modern Place by J","Agoda.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13988025-Reviews-The_Modern_Place_by_J-Yerevan.html"
"Nice big apartment In Center","Agoda.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16867962-Reviews-Nice_big_apartment_In_Center-Yerevan.html"
"Nice Hotel","Agoda.com",NA,"0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10289803-Reviews-Nice_Hotel-Yerevan.html"
"Nuri Hostel","Agoda.com",NA,"0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12315586-Reviews-Nuri_Hostel-Yerevan.html"
"Ramada Hotel & Suites by Wyndham Yerevan","Booking.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d16926321-Reviews-Ramada_Hotel_Suites_by_Wyndham_Yerevan-Yerevan.html"
"Sedrakyan's Guest House","Agoda.com",NA,"0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1784714-Reviews-Sedrakyan_s_Guest_House-Yerevan.html"
"SV Hostel","TripAdvisor",NA,"0 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2048975-Reviews-SV_Hostel-Yerevan.html"
"SV Hotel Complex","Marriott Hotels","AMD 36,000","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6963176-Reviews-SV_Hotel_Complex-Yerevan.html"
"Technical Center-Academy","Expedia.com","AMD 50,000","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2442927-Reviews-Technical_Center_Academy-Yerevan.html"
"Toscana Hotel","Agoda.com","AMD 14,972","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9812286-Reviews-Toscana_Hotel-Yerevan.html"
"Hin Yerevantsi Hotel","Booking.com","AMD 9,992","66 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3410830-Reviews-Hin_Yerevantsi_Hotel-Yerevan.html"
"Penthouse Hotel & Hostel","Booking.com","AMD 18,417","98 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1988128-Reviews-Penthouse_Hotel_Hostel-Yerevan.html"
"Anahit Stepanyan's B&B","Expedia.com","AMD 14,977","82 reviews","Free Wifi","Breakfast included","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2694256-Reviews-Anahit_Stepanyan_s_B_B-Yerevan.html"
"Grammy Hostel","Booking.com","AMD 23,990","52 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2695368-Reviews-Grammy_Hostel-Yerevan.html"
"Sweet Home Hostel","Booking.com","AMD 20,833","30 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8310924-Reviews-Sweet_Home_Hostel-Yerevan.html"
"Cascade Hostel & Tours","Booking.com","AMD 12,492","40 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6553208-Reviews-Cascade_Hostel_Tours-Yerevan.html"
"Parev Doon","Expedia.com","AMD 10,817","20 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2200845-Reviews-Parev_Doon-Yerevan.html"
"Theatre Hostel","Booking.com","AMD 20,833","91 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d1568148-Reviews-Theatre_Hostel-Yerevan.html"
"Tsirani ApartHotel","Booking.com","AMD 19,992","14 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7993885-Reviews-Tsirani_ApartHotel-Yerevan.html"
"Apricot Hostel","Agoda.com","AMD 29,118","33 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6557585-Reviews-Apricot_Hostel-Yerevan.html"
"Hostel Sun Ray","Booking.com","AMD 39,000","12 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d11737516-Reviews-Hostel_Sun_Ray-Yerevan.html"
"Republic Square Boutique Hotel","Booking.com","AMD 12,990","14 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d11791693-Reviews-Republic_Square_Boutique_Hotel-Yerevan.html"
"My Corner Hostel","Booking.com","AMD 20,000","19 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6585117-Reviews-My_Corner_Hostel-Yerevan.html"
"2x2 Cinema-Bar Hotel","Booking.com","AMD 266,667","11 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7318900-Reviews-2x2_Cinema_Bar_Hotel-Yerevan.html"
"Armenia Hostel","Booking.com",NA,"25 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d3869569-Reviews-Armenia_Hostel-Yerevan.html"
"Best View Hotel","Hotels.com",NA,"15 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9794016-Reviews-Best_View_Hotel-Yerevan.html"
"Sunny Holidays Hostel & Tours","Hotels.com",NA,"8 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13813784-Reviews-Sunny_Holidays_Hostel_Tours-Yerevan.html"
"Rafael Hostel","Hotels.com",NA,"22 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10269272-Reviews-Rafael_Hostel-Yerevan.html"
"Youth Hostel","Expedia.com",NA,"7 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12527985-Reviews-Youth_Hostel-Yerevan.html"
"5 Rooms","Hotels.com",NA,"4 reviews","Free Wifi","","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d12916039-Reviews-5_Rooms-Yerevan.html"
"5th Floor Guests House Yerevan","Expedia.com",NA,"5 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12360073-Reviews-5th_Floor_Guests_House_Yerevan-Yerevan.html"
"Holiday Hostel","Booking.com",NA,"28 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9769958-Reviews-Holiday_Hostel-Yerevan.html"
"Hotel House","Booking.com",NA,"23 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d2224576-Reviews-Hotel_House-Yerevan.html"
"Zebra Art Hostel","Agoda.com",NA,"5 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9553412-Reviews-Zebra_Art_Hostel-Yerevan.html"
"Mister Hostel","TripAdvisor",NA,"5 reviews","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7762068-Reviews-Mister_Hostel-Yerevan.html"
"Nacho Apart Hotel","TripAdvisor",NA,"1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14158180-Reviews-Nacho_Apart_Hotel-Yerevan.html"
"Tora Palace","TripAdvisor",NA,"9 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5488907-Reviews-Tora_Palace-Yerevan.html"
"Sochi Plaza Hotel","Booking.com","AMD 39,000","11 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d5857692-Reviews-Sochi_Plaza_Hotel-Yerevan.html"
"Best Hostel","Agoda.com","AMD 99,854","18 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7710601-Reviews-Best_Hostel-Yerevan.html"
"Extreme Excite Hostel And Travel","Booking.com","AMD 12,990","2 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d15053095-Reviews-Extreme_Excite_Hostel_And_Travel-Yerevan.html"
"The Rooms Hostel Yerevan","Booking.com","AMD 20,000","2 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13854775-Reviews-The_Rooms_Hostel_Yerevan-Yerevan.html"
"City Center Hostel","Booking.com","AMD 19,990","3 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8493459-Reviews-City_Center_Hostel-Yerevan.html"
"Yerevan Apartment at Tpagrichner","Booking.com","AMD 29,990","2 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d9995685-Reviews-Yerevan_Apartment_at_Tpagrichner-Yerevan.html"
"Hostel Out Of Dreams","Booking.com","AMD 10,000","2 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12394042-Reviews-Hostel_Out_Of_Dreams-Yerevan.html"
"Bellagio Hotel Complex","Booking.com",NA,"3 reviews","Free Wifi","","","","","","Restaurant","https://www.tripadvisor.com//Hotel_Review-g293932-d3616714-Reviews-Bellagio_Hotel_Complex-Yerevan.html"
"Sleep Studio - Female Only","Agoda.com",NA,"1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12634719-Reviews-Sleep_Studio_Female_Only-Yerevan.html"
"Avant Garde Hotel","Agoda.com",NA,"2 reviews","Free Wifi","","","Pool","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6402212-Reviews-Avant_Garde_Hotel-Yerevan.html"
"Compote","Agoda.com",NA,"1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d14013442-Reviews-Compote-Yerevan.html"
"Guest House Komitas","Booking.com","AMD 29,167","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13085144-Reviews-Guest_House_Komitas-Yerevan.html"
"Hostel Liberal","Booking.com","AMD 15,000","1 review","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12906838-Reviews-Hostel_Liberal-Yerevan.html"
"Friendship Hostel & Tours 2","Booking.com","AMD 20,000","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d13329847-Reviews-Friendship_Hostel_Tours_2-Yerevan.html"
"Ask House","Booking.com","AMD 45,000","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d11630031-Reviews-Ask_House-Yerevan.html"
"Familia","Booking.com","AMD 12,000","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d12616581-Reviews-Familia-Yerevan.html"
"LeMarz Hostel","Booking.com","AMD 5,760","1 review","Free Wifi","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10540941-Reviews-LeMarz_Hostel-Yerevan.html"
"Torosyans' Guesthouse","Booking.com","AMD 4,800","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d10350134-Reviews-Torosyans_Guesthouse-Yerevan.html"
"Aleppo Hotel","Booking.com","AMD 8,000","3 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7891055-Reviews-Aleppo_Hotel-Yerevan.html"
"Caucasus Wildlife Refuge","Booking.com","AMD 16,000","1 review","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d7806536-Reviews-Caucasus_Wildlife_Refuge-Yerevan.html"
"Apartments at Pushkin Street","Agoda.com","AMD 9,588","1 review","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d6681712-Reviews-Apartments_at_Pushkin_Street-Yerevan.html"
"Old Yerevan Hostel","Booking.com","AMD 11,429","5 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g293932-d8493688-Reviews-Old_Yerevan_Hostel-Yerevan.html"
