"name","Provider","Price","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","link"
"The Best Vacation (VAN)","Booking.com","AMD 24,167","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d14910310-Reviews-The_Best_Vacation_VAN-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Dream House & Hostel","Booking.com","AMD 9,167","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15603433-Reviews-Dream_House_Hostel-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Gexama Home","Booking.com","AMD 40,833","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d14781050-Reviews-Gexama_Home-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Hotel Complex Mayak","Booking.com","AMD 21,992","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d13231199-Reviews-Hotel_Complex_Mayak-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Jrahars Resort","Booking.com","AMD 12,843","0 reviews","Free Wifi","","Free parking","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d14934517-Reviews-Jrahars_Resort-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Lake Sevan Hostel","Booking.com","AMD 30,508","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15237554-Reviews-Lake_Sevan_Hostel-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Magic Mouse","Expedia.com","AMD 37,448","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15245681-Reviews-Magic_Mouse-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Metro Garden","Agoda.com","AMD 16,561","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d13992017-Reviews-Metro_Garden-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Mini Hotel on Sevan Lake","Booking.com","AMD 29,167","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d12595332-Reviews-Mini_Hotel_on_Sevan_Lake-Sevan_Lake_Sevan_Gegharkunik_Province.html"
"Sevan Tent City","Booking.com","AMD 7,492","0 reviews","","","","","","","","https://www.tripadvisor.com//Hotel_Review-g666442-d15220556-Reviews-Sevan_Tent_City-Sevan_Lake_Sevan_Gegharkunik_Province.html"
