"name","Provider","Review_Count","Free_Wifi","Breakfast_Included","Free_Parking","Swimming_Pool","Hotel_Website","Special_Offer","Restaurant","Link","Price_AMD","Price_USD"
"Old Yerevan Hostel and Tours","Booking.com",7,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d11707421-Reviews-Old_Yerevan_Hostel_and_Tours-Yerevan.html",8325,17
"Bella Hotel","Expedia.com",4,"1","0","0","0","0","0","1","https://www.tripadvisor.com/Hotel_Review-g293932-d6635845-Reviews-Bella_Hotel-Yerevan.html",12469,26
"Alik Apartments on Abovyan 16","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16744668-Reviews-Alik_Apartments_on_Abovyan_16-Yerevan.html",33325,69
"Art Guesthouse Qanaqer","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12381405-Reviews-Art_Guesthouse_Qanaqer-Yerevan.html",6658,14
"Bitlis","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14174703-Reviews-Bitlis-Yerevan.html",24992,52
"Central Apartments By Ris","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15295424-Reviews-Central_Apartments_By_Ris-Yerevan.html",12469,26
"Centrium","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d13372780-Reviews-Centrium-Yerevan.html",10825,22
"Charents Street Apartments","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15857255-Reviews-Charents_Street_Apartments-Yerevan.html",25000,52
"Comfortable Apartment Near The Republic Square","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15779348-Reviews-Comfortable_Apartment_Near_The_Republic_Square-Yerevan.html",48203,100
"The Doctor's House B&B","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12319090-Reviews-The_Doctor_s_House_B_B-Yerevan.html",12492,26
"Dom","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d14966245-Reviews-Dom-Yerevan.html",19990,41
"A. FA Hotel","Expedia.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d16856272-Reviews-A_FA_Hotel-Yerevan.html",17417,36
"Freedom Apartments On Arami street","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15885751-Reviews-Freedom_Apartments_On_Arami_street-Yerevan.html",43000,89
"Garni Hinyard","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15232085-Reviews-Garni_Hinyard-Yerevan.html",25833,53
"Georgia Hotel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d9786922-Reviews-Georgia_Hotel-Yerevan.html",11667,24
"Green Hostel","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15128173-Reviews-Green_Hostel-Yerevan.html",6658,14
"Guest House","Agoda.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12852733-Reviews-Guest_House-Yerevan.html",9965,21
"Avan Plaza","Expedia.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10205943-Reviews-Avan_Plaza-Yerevan.html",187020,386
"Guest House Myasnikyan","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15086527-Reviews-Guest_House_Myasnikyan-Yerevan.html",8000,17
"Guesthouse Na Ulice Orbeli","Booking.com",0,"1","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d10544194-Reviews-Guesthouse_Na_Ulice_Orbeli-Yerevan.html",5825,12
"Happy Camper Hostel","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15527260-Reviews-Happy_Camper_Hostel-Yerevan.html",7990,17
"The Highway Hostel","Booking.com",0,"0","0","0","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15074575-Reviews-The_Highway_Hostel-Yerevan.html",4158,9
"Homestay on Sose 17","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d12385341-Reviews-Homestay_on_Sose_17-Yerevan.html",14990,31
"HosTales","Agoda.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15321450-Reviews-HosTales-Yerevan.html",11639,24
"Hostel 5x5","Booking.com",0,"1","0","1","0","0","0","0","https://www.tripadvisor.com/Hotel_Review-g293932-d15743168-Reviews-Hostel_5x5-Yerevan.html",13490,28
